--------- beginning of main
04-07 17:50:38.346  1914  1958 D BatteryChargeControl: bcc get no support from charging protocol
04-07 17:50:38.445  1741  1741 D healthd : system healthd: battery l=100 v=4458 t=29.2 h=2 st=5 c=-484 fc=6415000 cc=28 chg=u
04-07 17:50:38.453  1914  1914 D vendor.oplus.hardware.charger-V6-service: get_ui_charge_icon_type 0 0 0 0 0
04-07 17:50:38.454  1914  1914 D vendor.oplus.hardware.charger-V6-service: oplus_chg_get_cpa_power 2500 charge_online 1 retention_topic 0
--------- beginning of system
04-07 17:50:39.165 19850 19850 I MNNJNI  : [HybridPlan] seq=48 phase=unknown size=112 avgDiv=6.3463 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=112 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=28
04-07 17:50:39.165 19850 19850 I MNNJNI  : [HybridPlan] seq=49 phase=unknown size=112 avgDiv=6.3099 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=112 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=28
04-07 17:50:39.165 19850 19850 I MNNJNI  : [HybridPlan] seq=50 phase=unknown size=16 avgDiv=6.0541 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=16 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=4
04-07 17:50:39.166 19850 19850 I MNNJNI  : [HybridPlan] seq=51 phase=unknown size=16 avgDiv=6.0541 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=16 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=4
04-07 17:50:39.166 19850 19850 I MNNJNI  : [HybridPlan] seq=52 phase=unknown size=112 avgDiv=6.3099 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=112 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=28
04-07 17:50:39.166 19850 19850 I MNNJNI  : [HybridPlan] seq=53 phase=unknown size=608 avgDiv=6.3463 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=608 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=152
04-07 17:50:39.166 19850 19850 I MNNJNI  : [HybridPlan] seq=54 phase=unknown size=608 avgDiv=6.3463 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=608 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=152
04-07 17:50:39.166 19850 19850 I MNNJNI  : [HybridPlan] seq=55 phase=unknown size=112 avgDiv=6.3463 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=112 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=28
04-07 17:50:39.166 19850 19850 I MNNJNI  : [HybridPlan] seq=56 phase=unknown size=112 avgDiv=6.3099 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=112 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=28
04-07 17:50:39.166 19850 19850 I MNNJNI  : [HybridPlan] seq=57 phase=unknown size=16 avgDiv=6.0541 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=16 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=4
04-07 17:50:39.166 19850 19850 I MNNJNI  : [HybridPlan] seq=58 phase=unknown size=16 avgDiv=6.0541 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=16 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=4
04-07 17:50:39.166 19850 19850 I MNNJNI  : [HybridPlan] seq=59 phase=unknown size=112 avgDiv=6.3099 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=112 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=28
04-07 17:50:39.166 19850 19850 I MNNJNI  : [HybridPlan] seq=60 phase=unknown size=608 avgDiv=6.3463 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=608 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=152
04-07 17:50:39.166 19850 19850 I MNNJNI  : [HybridPlan] seq=61 phase=unknown size=608 avgDiv=6.3463 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=608 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=152
04-07 17:50:39.166 19850 19850 I MNNJNI  : [HybridPlan] seq=62 phase=unknown size=112 avgDiv=6.3463 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=112 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=28
04-07 17:50:39.166 19850 19850 I MNNJNI  : [HybridPlan] seq=63 phase=unknown size=112 avgDiv=6.3099 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=112 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=28
04-07 17:50:39.166 19850 19850 I MNNJNI  : [HybridPlan] seq=64 phase=unknown size=16 avgDiv=6.0541 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=16 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=4
04-07 17:50:39.166 19850 19850 I MNNJNI  : [HybridPlan] seq=65 phase=unknown size=16 avgDiv=6.0541 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=16 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=4
04-07 17:50:39.166 19850 19850 I MNNJNI  : [HybridPlan] seq=66 phase=unknown size=112 avgDiv=6.3099 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=112 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=28
04-07 17:50:39.166 19850 19850 I MNNJNI  : [HybridPlan] seq=67 phase=unknown size=608 avgDiv=6.3463 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=608 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=152
04-07 17:50:39.166 19850 19850 I MNNJNI  : [HybridPlan] seq=68 phase=unknown size=608 avgDiv=6.3463 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=608 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=152
