--------- beginning of main
04-07 17:57:46.489 20269 20269 I MNNJNI  : [HybridPlan] seq=50 phase=unknown size=16 avgDiv=6.0541 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=16 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=4
04-07 17:57:46.489 20269 20269 I MNNJNI  : [HybridPlan] seq=51 phase=unknown size=16 avgDiv=6.0541 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=16 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=4
04-07 17:57:46.489 20269 20269 I MNNJNI  : [HybridPlan] seq=52 phase=unknown size=112 avgDiv=6.3099 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=112 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=28
04-07 17:57:46.489 20269 20269 I MNNJNI  : [HybridPlan] seq=53 phase=unknown size=608 avgDiv=6.3463 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=608 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=152
04-07 17:57:46.489 20269 20269 I MNNJNI  : [HybridPlan] seq=54 phase=unknown size=608 avgDiv=6.3463 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=608 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=152
04-07 17:57:46.489 20269 20269 I MNNJNI  : [HybridPlan] seq=55 phase=unknown size=112 avgDiv=6.3463 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=112 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=28
04-07 17:57:46.489 20269 20269 I MNNJNI  : [HybridPlan] seq=56 phase=unknown size=112 avgDiv=6.3099 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=112 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=28
04-07 17:57:46.489 20269 20269 I MNNJNI  : [HybridPlan] seq=57 phase=unknown size=16 avgDiv=6.0541 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=16 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=4
04-07 17:57:46.489 20269 20269 I MNNJNI  : [HybridPlan] seq=58 phase=unknown size=16 avgDiv=6.0541 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=16 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=4
04-07 17:57:46.489 20269 20269 I MNNJNI  : [HybridPlan] seq=59 phase=unknown size=112 avgDiv=6.3099 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=112 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=28
04-07 17:57:46.489 20269 20269 I MNNJNI  : [HybridPlan] seq=60 phase=unknown size=608 avgDiv=6.3463 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=608 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=152
04-07 17:57:46.489 20269 20269 I MNNJNI  : [HybridPlan] seq=61 phase=unknown size=608 avgDiv=6.3463 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=608 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=152
04-07 17:57:46.489 20269 20269 I MNNJNI  : [HybridPlan] seq=62 phase=unknown size=112 avgDiv=6.3463 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=112 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=28
04-07 17:57:46.489 20269 20269 I MNNJNI  : [HybridPlan] seq=63 phase=unknown size=112 avgDiv=6.3099 decodeByAvg=1 policy=dynamic req_static=0.0000 final_static=0.0000 total_static=0 dynamic=112 threads=6 hasVariance=1 smallTask=0 target=4 min=1 step=28
